0,1,2,3,4,Stimmenanteile CDU/CSU,Stimmenanteile SPD,Stimmenanteile Grüne,Stimmenanteile FDP,Stimmenanteile Die Linke,Stimmenanteile AfD,location,Ausländeranteil,Stadt,Uni
5.565110334004748,2.9521271845990404,-3.9220028464815897,1.258169598923928,-0.4065312446525693,27.2,24.6,15.1,10.3,11.6,7.5,1,13.3,2,109.0
6.011023380460495,3.9300141489838074,-1.1794742814705585,-1.3609593506828064,-0.37148000652849755,25.9,24.1,17.5,11.4,10.7,6.9,1,11.3,1,140.6
5.192026103083624,1.5820340272158226,-1.8325720730154749,0.45351727839062717,0.16884967976191664,28.9,25.5,12.9,10.7,9.7,8.9,1,9.7,1,49.2
5.738992944013627,0.1746254911667076,-3.570409135471535,1.3906163525619344,-0.49007531150831846,31.1,25.7,10.5,12.1,7.1,10.3,1,11.0,2,0.0
1.2752185159155949,-0.8017737855677144,-3.800052944319113,0.13548883722031158,0.7715804323966885,36.7,23.4,8.0,14.6,6.2,8.6,1,5.6,2,13.7
-0.045440672765615,-0.18637982501112807,-1.481727125644574,-0.36628065623698863,-0.3118387233127895,34.2,23.0,10.5,12.8,6.6,10.2,1,7.5,2,0.0
-1.0790656678162862,-1.0526155950521026,-2.1604486157090386,-0.4610455317184728,0.2803388245689983,38.7,22.2,12.1,12.6,6.3,5.8,1,6.8,2,0.0
-0.8110237113418894,-1.2342187637419026,-1.7712899214107278,-1.3493391484961639,-0.39559144678910113,35.6,24.8,9.7,13.3,6.0,8.5,1,5.5,2,0.0
-0.8376388846119064,0.9016997734524081,-0.5796246021716364,-0.27276023108582226,-0.40779661612040663,34.3,22.9,11.4,13.3,7.0,8.6,1,10.1,1,11.1
-2.3846033501925543,-0.6509129220534593,-2.6387604177997597,-2.403991879556683,-0.7320289156243771,34.2,23.2,13.6,12.8,6.3,7.7,1,4.7,2,0.0
-1.280118323093952,0.07502340945819981,-1.545229449664175,-1.6425980671185785,-0.4401523030654738,36.1,22.7,12.6,12.4,6.3,7.3,1,5.0,2,4.5
-0.15151958940070556,-1.7000190325303182,-2.9538603607514027,-0.5562358277122508,-0.4771346328100864,37.1,23.3,12.3,11.5,6.9,6.6,1,5.1,2,0.0
-1.5087812816703259,0.7382174828135354,-0.4225558764773668,-0.5227764850115805,-0.2138705351983336,35.2,22.2,10.5,13.5,6.8,9.0,1,8.1,2,0.0
0.7820248807955386,0.2639927449375359,-2.6648036711796417,-0.6865315456652868,0.33439267736877165,36.1,23.0,10.6,12.3,7.0,8.2,1,6.6,2,0.0
-2.652534597066533,1.302081969858551,0.532386891357251,-1.6864553125191637,-0.856007263485118,34.6,21.7,11.7,14.0,6.5,9.1,1,7.0,1,0.6
3.3747869653009523,6.064334498073728,2.3416193692993006,0.5357578359785881,1.0529839581222116,27.2,23.5,13.9,10.8,12.2,7.8,1,16.2,1,58.9
1.519468841144968,3.6815824579271728,2.482071519090678,-0.7242071978688039,-0.05052129151486581,29.0,26.4,11.8,10.0,9.3,8.4,1,9.7,1,85.1
